Description,Ticker,Ticker2
aelf,ELFUSD,ELF
Mobox,MBOXUSD,MBOX
Power,POWRUSD,POWR
Shopping,SPIUSD,SPI
xRhodium,XRCUSD,XRC
Lucy,LUCYUSD,LUCY
XRP,XRPUSD,XRP
Measurable,MDTUSD,MDT
1inch,1INCHUSD,1INCH
Molecular,MOFUSD,MOF
Six,SIXUSD,SIX
IoTeX,IOTXUSD,IOTX
AirSwap,ASTUSD,AST
Ark,ARKUSD,ARK
Wrapped,WBTCUSD,WBTC
THETA,THETAUSD,THETA
Orchid,OXTUSD,OXT
Ethereum,ENSUSD,ENS
EasyFi,EASYUSD,EASY
NANO,NANOUSD,NANO
Klaytn,KLAYUSD,KLAY
Gnosis,GNOUSD,GNO
Serum,SRMUSD,SRM
Siacoin,SCUSD,SC
Ontology,ONTUSD,ONT
MDX,MDXUSD,MDX
Aave,AAVEUSD,AAVE
Carbon,CUTUSD,CUT
Unibright,UBTUSD,UBT
LIT,LITUSD,LIT
Lisk,LSKUSD,LSK
Maker,MKRUSD,MKR
DEAPCOIN,DEPUSD,DEP
Unicorn,UTIUSD,UTI
Vanywhere,VANYUSD,VANY
Mirror,MIRUSD,MIR
TAEL,WABIUSD,WABI
Parallel,MIMOUSD,MIMO
OriginTrail,TRACUSD,TRAC
DATx,DATXUSD,DATX
ROSE,ROSEUSD,ROSE
Energi,NRGUSD,NRG
Velas,VLXUSD,VLX
Kava,KAVAUSD,KAVA
Waves,WAVESUSD,WAVES
Populous,PPTUSD,PPT
ORN,ORNUSD,ORN
Maecenas,ARTUSD,ART
TRON,TRXUSD,TRX
Bonded,BONDUSD,BOND
SwftCoin,SWFTCUSD,SWFTC
Amoveo,VEOUSD,VEO
Bridge,BRDGUSD,BRDG
Venus,XVSUSD,XVS
Coindash,CDTUSD,CDT
Aeon,AEONUSD,AEON
ExclusiveCoin,EXCLUSD,EXCL
Neo,NEOUSD,NEO
PhoenixDAO,PHNXUSD,PHNX
Mindcell,MDCUSD,MDC
Swerve,SWRVUSD,SWRV
Origin,OGNUSD,OGN
BTECoin,BTEUSD,BTE
Bitcoin,BCHAUSD,BCHA
KardiaChain,KAIUSD,KAI
MLN,MLNUSD,MLN
Aave,AAVEUSD,AAVE
CHR,CHRUSD,CHR
Standard,STPTUSD,STPT
Bytecoin,BCNUSD,BCN
POA,POA20USD,POA20
Lisk,LSKUSD,LSK
Curve,CRVUSD,CRV
Pitch,PITCHUSD,PITCH
Status,SNTUSD,SNT
Naga,NGCUSD,NGC
Hydro,HYDROUSD,HYDRO
Velas,VLXUSD,VLX
Lunyr,LUNUSD,LUN
Nano,NANOUSD,NANO
Aspire,GASPUSD,GASP
Komodo,KMDUSD,KMD
Gleec,GLEECUSD,GLEEC
Unification,FUNDUSD,FUND
Qtum,QTUMUSD,QTUM
DomRaider,DRTUSD,DRT
Penta,PNTUSD,PNT
COTI,COTIUSD,COTI
Spice,SPICEUSD,SPICE
Cardano,ADAUSD,ADA
Flow,FLOWUSD,FLOW
Ampleforth,FORTHUSD,FORTH
KEEP,KEEPUSD,KEEP
Livepeer,LPTUSD,LPT
Rarible,RARIUSD,RARI
ARTII,ARTIIUSD,ARTII
Vertcoin,VTCUSD,VTC
The,SANDUSD,SAND
Metadium,METAUSD,META
8X8,EXEUSD,EXE
IQQ,IQQUSD,IQQ
District0x,DNTUSD,DNT
Chrono.tech,TIMEUSD,TIME
Ontology,ONTUSD,ONT
GET,GETUSD,GET
DODO,DODOUSD,DODO
Ardor,ARDRUSD,ARDR
Crown,CRWUSD,CRW
HiFi,MFTUSD,MFT
United,UTTUSD,UTT
POND,PONDUSD,POND
Mysterium,MYSTUSD,MYST
SimbCoin,SMBSWAPUSD,SMBSWAP
TenX,PAYUSD,PAY
Metronome,METUSD,MET
Firo,FIROUSD,FIRO
SafePal,SFPUSD,SFP
Elrond,EGLDUSD,EGLD
Handshake,HNSUSD,HNS
1INCH,1INCHUSD,1INCH
Reef,REEFUSD,REEF
Proton,XPRUSD,XPR
Lambda,LAMBUSD,LAMB
LOAN,LOANUSD,LOAN
Aidos,ADKUSD,ADK
Orbs,ORBSUSD,ORBS
Sentinel,UPPUSD,UPP
Uquid,UQCUSD,UQC
Klever,KLVUSD,KLV
Radicle,RADUSD,RAD
Stellar,XLMUSD,XLM
VERAsity,VRAUSD,VRA
Livepeer,LPTUSD,LPT
SteemDollars,SBDUSD,SBD
Arweave,ARUSD,AR
Ethereum,ECELLUSD,ECELL
ICON,ICXUSD,ICX
SuperFarm,SUPERUSD,SUPER
Edgeware,EDGUSD,EDG
GoChain,GOUSD,GO
Decred,DCRUSD,DCR
Constellation,DAGUSD,DAG
Harvest,FARMUSD,FARM
KSM,KSMUSD,KSM
REAL,SYBCUSD,SYBC
MaidSafeCoin,MAIDUSD,MAID
Litecoin,LTCUSD,LTC
Badger,BADGERUSD,BADGER
Loom,LOOMUSD,LOOM
Nxt,NXTUSD,NXT
Casino,CBCUSD,CBC
I/OCoin,IOCUSD,IOC
Dash,DASHUSD,DASH
Chronologic,DAYUSD,DAY
TomoChain,TOMOUSD,TOMO
Nervos,CKBUSD,CKB
DUCATO,DUCATOUSD,DUCATO
THEKEY,TKYUSD,TKY
DigiByte,DGBUSD,DGB
Status,SNTUSD,SNT
UREEQA,URQAUSD,URQA
Qtum,QTUMUSD,QTUM
Streamr,DATAUSD,DATA
OntologyGas,ONGUSD,ONG
Tap,XTPUSD,XTP
Dash,DASHUSD,DASH
Blockpass,PASSUSD,PASS
Bitcoin,BCHSVUSD,BCHSV
BEL,BELUSD,BEL
bZx,BZRXUSD,BZRX
JUV,JUVUSD,JUV
Stronghold,SHXUSD,SHX
