datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,trading,trend_cnt,dtrend_cnt,profit
2021-11-11 04:00:00,33.682,33.728,33.207,33.663,69715.6012,-0.019000000000005457,38.030256565997696,34.65545,31.280643434002307,-0.00014850896994189622,59.26760563380279,59.06854460093896,33.71088231674116,34.36926290336432,33.55900797325286,33.982824666451776,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-11 06:00:00,33.662,33.804,32.875,32.913,110249.4012,-0.7490000000000023,37.8977006001363,34.50055,31.103399399863694,-0.02227965421976652,50.816901408450676,56.469483568075105,33.56581280460641,34.23057119828201,32.75754902550911,33.91104933596968,ATOMUSD,HOLD,0.0,1.0,31.73544
2021-11-11 08:00:00,32.909,33.539,32.512,33.163,169971.1012,0.2539999999999978,37.754125155035375,34.36725,30.98037484496462,0.007595782821377517,53.63380281690139,54.57276995305162,33.492574112859785,34.128897750826575,32.03042010327548,33.826276302521244,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-11 10:00:00,33.142,33.616,33.057,33.257,117482.5012,0.11499999999999488,37.58391373107399,34.23765,30.891386268926016,0.0028344842143352977,54.69295774647887,53.04788732394365,33.449742455976185,34.04585986979548,32.89791229082461,33.76558467158269,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-11 12:00:00,33.247,33.423,32.877,33.386,80391.0012,0.1390000000000029,37.43194585726457,34.12775,30.82355414273543,0.003878882641248582,56.14647887323948,54.82441314553992,33.438152918525965,33.9830160726721,33.160070623142865,33.71985033485106,ATOMUSD,HOLD,2.0,0.0,31.73544
2021-11-11 14:00:00,33.4,33.44,32.959,33.233,94467.9012,-0.1670000000000016,37.26131225502506,34.0096,30.75788774497494,-0.004582759240400303,58.024987986544915,56.28814153542109,33.40085238788488,33.91158597051285,33.27101435905522,33.66815227963006,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-11 16:00:00,33.221,33.381,32.939,32.939,69215.3012,-0.2819999999999965,37.051200783426616,33.8705,30.689799216573384,-0.008846628351337427,72.27533460803058,62.148933822604995,33.31687922645126,33.81895873522591,33.283739558598825,33.63541256356555,ATOMUSD,HOLD,0.0,1.0,31.73544
2021-11-11 18:00:00,32.931,32.931,31.78,32.664,355466.1012,-0.2669999999999959,36.764830194820334,33.704449999999994,30.64406980517965,-0.008348765900604072,61.99095022624432,64.09709094027328,33.198173912551034,33.708962665204396,33.0759320336108,33.53056491621678,ATOMUSD,HOLD,0.0,2.0,31.73544
2021-11-11 20:00:00,32.674,32.879,32.438,32.813,99981.0012,0.1390000000000029,36.44550890572571,33.54875,30.651991094274283,0.00456159686505031,46.983141082519985,60.416475305598304,33.128142292087205,33.62363288756588,33.01734960704073,33.472258792840776,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-11 22:00:00,32.813,32.981,32.408,32.433,62757.0012,-0.38000000000000256,36.04802691961843,33.36735,30.686673080381574,-0.011580775911986141,29.308797127468505,46.094296145410944,33.001752784434984,33.510239279226276,32.935305492789006,33.35528764188557,ATOMUSD,HOLD,0.0,0.0,31.73544
