datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,anomoly,trading,trend_cnt,dtrend_cnt,profit
2021-05-11 13:00:00,1.001,1.0015,1.0009,1.0014,3676434.1612,0.000400000000000178,1.0018201738838977,1.0011050000000001,1.0003898261161026,0.0002996703626010344,73.07692307692537,65.38461538461834,1.0010914858702833,1.0010828217383054,1.0008039030582914,1.0010875220668756,USDTUSD,1,HOLD,2.0,0.0,0.0007919999999999128
2021-05-11 15:00:00,1.0015,1.0018,1.0013,1.0015,4508055.791200001,0.0,1.0018616353093261,1.001125,1.000388364690674,9.986019572605365e-05,76.9230769230789,70.51282051282303,1.0011657611669857,1.001122555952015,1.0011158499115143,1.0010966450476562,USDTUSD,1,HOLD,3.0,0.0,0.0007919999999999128
2021-05-11 17:00:00,1.0014,1.0018,1.0012,1.0012,3386585.8411999997,-0.00019999999999997797,1.001867278066517,1.00113,1.0003927219334832,-0.00029955067398901303,65.38461538461834,71.7948717948742,1.0011719864093787,1.0011299320712213,1.0012056519353687,1.001098360929716,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-11 19:00:00,1.0013,1.0014,1.0007,1.001,3816382.6012,-0.000300000000000189,1.001849918541851,1.001115,1.000380081458149,-0.0001997602876550042,65.21739130434153,69.17502787067959,1.0011407161530177,1.001117556835965,1.0011933105342647,1.0010915461440524,USDTUSD,1,HOLD,0.0,1.0,0.0007919999999999128
2021-05-11 21:00:00,1.0011,1.0016,1.0007,1.0012,3951360.1512,9.999999999998899e-05,1.0018409690755925,1.0011100000000002,1.0003790309244078,0.0001998001998004817,73.91304347826339,68.17168338907442,1.0011514950343183,1.0011254089977415,1.0011985039085505,1.0010832993266028,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-11 23:00:00,1.0012,1.0019,1.0007,1.0008,3805404.3712,-0.000400000000000178,1.001726175257483,1.00106,1.000393824742517,-0.00039952057530978635,54.166666666661655,64.43236714975552,1.0010875868461098,1.0010944161223612,1.001155066200065,1.001044179834575,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-12 01:00:00,1.0008,1.0014,1.0007,1.0011,1948317.0612,0.000300000000000189,1.0016250674442082,1.00103,1.000434932555792,0.00029976019184663194,55.55555555556104,61.21175523349536,1.001089843783185,1.0010949479441755,1.0011495816422538,1.0009981313981264,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-12 03:00:00,1.0011,1.0011,1.0002,1.0011,3425807.2012,0.0,1.0015854107476645,1.0010150000000002,1.000444589252336,0.0,55.55555555556104,55.09259259259458,1.0010916903680633,1.0010954291119494,1.001149468055931,1.0009562915924843,USDTUSD,0,HOLD,1.0,0.0,0.0007919999999999128
2021-05-12 05:00:00,1.0011,1.0016,1.0009,1.0014,3414181.9412000002,0.00029999999999996696,1.0016149812026907,1.001055,1.0004950187973094,0.0002996703626010344,72.22222222222565,61.11111111111592,1.0011477466648515,1.0011244369322825,1.0011783641127432,1.0010125074151264,USDTUSD,1,HOLD,2.0,0.0,0.0007919999999999128
2021-05-12 07:00:00,1.0014,1.0017,1.0011,1.0015,4290630.1411999995,9.999999999998899e-05,1.0016499876291975,1.001065,1.0004800123708026,9.986019572605365e-05,76.47058823529719,68.08278867102796,1.0012117927258553,1.0011602060362221,1.0012211406977485,1.0009515402484375,USDTUSD,1,HOLD,3.0,0.0,0.0007919999999999128
2021-05-12 09:00:00,1.0014,1.0018,1.0013,1.0014,5680531.3112,0.0,1.0016877131638626,1.0010850000000002,1.0004822868361378,-9.985022466296734e-05,70.58823529412149,73.09368191721478,1.0012460122302749,1.001183044245599,1.0012346738866849,1.0009776512127153,USDTUSD,1,HOLD,4.0,0.0,0.0007919999999999128
